scale;area;diff
1;0.694639;0.249879
1.1;0.69715;0.247367
1.2;0.708825;0.235692
1.3;0.69922;0.245298
1.4;0.696166;0.248352
1.5;0.682515;0.262002
1.6;0.699072;0.245445
1.7;0.688302;0.256215
1.8;0.705637;0.23888
1.9;0.716071;0.228446
2;0.695412;0.249105
2.1;0.729912;0.214605
2.2;0.708698;0.235819
2.3;0.738657;0.20586
2.4;0.70474;0.239778
2.5;0.710416;0.234101
2.6;0.686433;0.258085
2.7;0.720193;0.224324
2.8;0.720601;0.223916
2.9;0.705744;0.238773
3;0.704956;0.239561
3.1;0.731253;0.213264
3.2;0.712278;0.232239
3.3;0.705057;0.23946
3.4;0.703708;0.240809
3.5;0.712007;0.23251
3.6;0.663015;0.281502
3.7;0.68035;0.264167
3.8;0.671685;0.272832
3.9;0.693117;0.2514
4;0.685095;0.259422
4.1;0.689426;0.255092
4.2;0.714366;0.230151
4.3;0.724942;0.219576
4.4;0.695798;0.24872
4.5;0.72082;0.223697
4.6;0.729561;0.214957
4.7;0.657163;0.287354
4.8;0.740893;0.203624
4.9;0.675058;0.269459
5;0.67065;0.273867
5.1;0.664199;0.280318
5.2;0.769548;0.174969
5.3;0.717314;0.227203
5.4;0.729595;0.214922
5.5;0.673638;0.270879
5.6;0.684875;0.259643
5.7;0.759836;0.184681
5.8;0.650788;0.293729
5.9;0.748248;0.19627
6;0.693349;0.251168
6.1;0.751846;0.192671
6.2;0.756868;0.187649
6.3;0.716641;0.227876
6.4;0.778312;0.166206
6.5;0.701109;0.243409
6.6;0.805244;0.139273
6.7;0.648426;0.296092
6.8;0.628169;0.316349
6.9;0.724557;0.21996
7;0.653024;0.291493
7.1;0.615469;0.329048
7.2;0.730988;0.213529
7.3;0.696451;0.248066
7.4;0.734496;0.210021
7.5;0.744808;0.199709
7.6;0.655545;0.288972
7.7;0.678007;0.26651
7.8;0.763736;0.180781
7.9;0.719052;0.225465
8;0.709857;0.23466
8.1;0.676944;0.267573
8.2;0.647511;0.297006
8.3;0.716709;0.227808
8.4;0.812952;0.131566
8.5;0.819999;0.124519
8.6;0.616836;0.327681
8.7;0.631265;0.313252
8.8;0.64586;0.298657
8.9;0.667433;0.277085
9;0.724302;0.220215
9.1;0.647926;0.296591
9.2;0.625857;0.31866
9.3;0.788266;0.156251
9.4;0.72174;0.222777
9.5;0.706139;0.238379
9.6;0.800323;0.144194
9.7;0.736184;0.208334
9.8;0.511971;0.432546
9.9;0.691012;0.253505
