n;array_type;sorting_type;time
500;"random";"quick";48923
1000;"random";"quick";106578
1500;"random";"quick";167235
2000;"random";"quick";233492
2500;"random";"quick";293489
3000;"random";"quick";362987
3500;"random";"quick";430556
4000;"random";"quick";507896
4500;"random";"quick";577723
5000;"random";"quick";638298
5500;"random";"quick";718642
6000;"random";"quick";777906
6500;"random";"quick";855738
7000;"random";"quick";923563
7500;"random";"quick";1016078
8000;"random";"quick";1080089
8500;"random";"quick";1173663
9000;"random";"quick";1224267
9500;"random";"quick";1321413
10000;"random";"quick";1389452
10500;"random";"quick";1480997
11000;"random";"quick";1572884
11500;"random";"quick";1607881
12000;"random";"quick";1714132
12500;"random";"quick";1783807
13000;"random";"quick";1870173
13500;"random";"quick";1954994
14000;"random";"quick";1992804
14500;"random";"quick";2119003
15000;"random";"quick";2185413
500;"reversed";"quick";408246
1000;"reversed";"quick";1618879
1500;"reversed";"quick";3561403
2000;"reversed";"quick";6321987
2500;"reversed";"quick";9859214
3000;"reversed";"quick";14216214
3500;"reversed";"quick";19382293
4000;"reversed";"quick";25213734
4500;"reversed";"quick";31946029
5000;"reversed";"quick";39356172
5500;"reversed";"quick";47621568
6000;"reversed";"quick";56636180
6500;"reversed";"quick";66696652
7000;"reversed";"quick";77058210
7500;"reversed";"quick";90504501
8000;"reversed";"quick";100774100
8500;"reversed";"quick";113858081
9000;"reversed";"quick";127953735
9500;"reversed";"quick";143305103
10000;"reversed";"quick";157474287
10500;"reversed";"quick";173511943
11000;"reversed";"quick";190311381
11500;"reversed";"quick";208286089
12000;"reversed";"quick";233453299
12500;"reversed";"quick";249800872
13000;"reversed";"quick";270688767
13500;"reversed";"quick";293091746
14000;"reversed";"quick";308766815
14500;"reversed";"quick";331622318
15000;"reversed";"quick";355569299
500;"almost_sorted";"quick";401286
1000;"almost_sorted";"quick";1038239
1500;"almost_sorted";"quick";1494412
2000;"almost_sorted";"quick";2566738
2500;"almost_sorted";"quick";3582540
3000;"almost_sorted";"quick";4201953
3500;"almost_sorted";"quick";5790163
4000;"almost_sorted";"quick";5999281
4500;"almost_sorted";"quick";7826371
5000;"almost_sorted";"quick";7855453
5500;"almost_sorted";"quick";9239004
6000;"almost_sorted";"quick";9863910
6500;"almost_sorted";"quick";10792306
7000;"almost_sorted";"quick";12051574
7500;"almost_sorted";"quick";12550847
8000;"almost_sorted";"quick";14356403
8500;"almost_sorted";"quick";14323163
9000;"almost_sorted";"quick";15960662
9500;"almost_sorted";"quick";16291206
10000;"almost_sorted";"quick";17532443
10500;"almost_sorted";"quick";18326916
11000;"almost_sorted";"quick";19105573
11500;"almost_sorted";"quick";20509208
12000;"almost_sorted";"quick";20848651
12500;"almost_sorted";"quick";22817064
13000;"almost_sorted";"quick";22770713
13500;"almost_sorted";"quick";24375564
14000;"almost_sorted";"quick";24819479
14500;"almost_sorted";"quick";25879210
15000;"almost_sorted";"quick";26934371
500;"random";"intro";43822
1000;"random";"intro";96346
1500;"random";"intro";157959
2000;"random";"intro";214459
2500;"random";"intro";277999
3000;"random";"intro";341165
3500;"random";"intro";400167
4000;"random";"intro";465129
4500;"random";"intro";533498
5000;"random";"intro";598165
5500;"random";"intro";662912
6000;"random";"intro";738450
6500;"random";"intro";793795
7000;"random";"intro";882079
7500;"random";"intro";960413
8000;"random";"intro";1027832
8500;"random";"intro";1091957
9000;"random";"intro";1145541
9500;"random";"intro";1237501
10000;"random";"intro";1311081
10500;"random";"intro";1359583
11000;"random";"intro";1446163
11500;"random";"intro";1509502
12000;"random";"intro";1602291
12500;"random";"intro";1660333
13000;"random";"intro";1791043
13500;"random";"intro";1808915
14000;"random";"intro";1951704
14500;"random";"intro";2057916
15000;"random";"intro";2115500
500;"reversed";"intro";134543
1000;"reversed";"intro";291711
1500;"reversed";"intro";459122
2000;"reversed";"intro";621080
2500;"reversed";"intro";798248
3000;"reversed";"intro";969876
3500;"reversed";"intro";1138544
4000;"reversed";"intro";1357043
4500;"reversed";"intro";1532290
5000;"reversed";"intro";1728877
5500;"reversed";"intro";1903044
6000;"reversed";"intro";2062793
6500;"reversed";"intro";2279667
7000;"reversed";"intro";2509459
7500;"reversed";"intro";2733460
8000;"reversed";"intro";2928005
8500;"reversed";"intro";3160710
9000;"reversed";"intro";3368918
9500;"reversed";"intro";3556377
10000;"reversed";"intro";3727709
10500;"reversed";"intro";3956335
11000;"reversed";"intro";4095459
11500;"reversed";"intro";4260293
12000;"reversed";"intro";4579876
12500;"reversed";"intro";4782669
13000;"reversed";"intro";4967499
13500;"reversed";"intro";5189376
14000;"reversed";"intro";5398876
14500;"reversed";"intro";5652956
15000;"reversed";"intro";5753917
500;"almost_sorted";"intro";139332
1000;"almost_sorted";"intro";575705
1500;"almost_sorted";"intro";899541
2000;"almost_sorted";"intro";1763998
2500;"almost_sorted";"intro";2203252
3000;"almost_sorted";"intro";3490004
3500;"almost_sorted";"intro";4137873
4000;"almost_sorted";"intro";5715289
4500;"almost_sorted";"intro";6691703
5000;"almost_sorted";"intro";8922377
5500;"almost_sorted";"intro";11378327
6000;"almost_sorted";"intro";11863002
6500;"almost_sorted";"intro";14675380
7000;"almost_sorted";"intro";15869780
7500;"almost_sorted";"intro";19112903
8000;"almost_sorted";"intro";20440285
8500;"almost_sorted";"intro";24219358
9000;"almost_sorted";"intro";28240532
9500;"almost_sorted";"intro";29994648
10000;"almost_sorted";"intro";34447288
10500;"almost_sorted";"intro";36528719
11000;"almost_sorted";"intro";41251236
11500;"almost_sorted";"intro";43312528
12000;"almost_sorted";"intro";48584789
12500;"almost_sorted";"intro";51462507
13000;"almost_sorted";"intro";57084717
13500;"almost_sorted";"intro";63252506
14000;"almost_sorted";"intro";65676759
14500;"almost_sorted";"intro";72190516
15000;"almost_sorted";"intro";74834487
